Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.37931935394108E-06,-0.000475142478554004,0.018439017892027,0,0,0,0.709215089186384,0.00115586778389477,4.76210921883884E-08,7.97269592535512E-08,0.00114634212515932,2.07271572898755E-07,0.00212931958576209,0,0,0,0,0,0,package://combination/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://combination/meshes/base_link.STL,,UR10.STEP-1/Base.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
joint_1,7.67305519609881E-06,0.0116177835329399,-0.0114454182654446,0,0,0,3.07721535328458,0.01075086496246,-1.32535236034976E-06,-4.83433003182714E-08,0.0100374841136376,-0.00104422148169352,0.0100847609730903,0,0,0,0,0,0,package://combination/meshes/joint_1.STL,0.882352941176471,0.882352941176471,0.882352941176471,1,0,0,0,0,0,0,package://combination/meshes/joint_1.STL,,UR10.STEP-1/Size 4 Joint.STEP-1,Origin_Joint_1,,joint_1,revolute,0,0,0.128,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
joint_2,8.39495534339188E-05,0.250745974283906,0.00563372269131107,0,0,0,8.71681022341746,0.0952626099900606,4.23627566007177E-07,-3.08766556581469E-07,0.0187317746215777,0.000754738812287678,0.0948533789000811,0,0,0,0,0,0,package://combination/meshes/joint_2.STL,0.882352941176471,0.882352941176471,0.882352941176471,1,0,0,0,0,0,0,package://combination/meshes/joint_2.STL,,UR10.STEP-1/Size 4 Joint.STEP-2;UR10.STEP-1/Upper arm.STEP-1;UR10.STEP-1/Size 3 Joint.STEP-1,Origin_Joint_2,,joint_2,revolute,0,0.176,0,1.5708,0,0,joint_1,0,0,0,0,0,0,0,,,,,,,,
joint_3,-2.3154E-06,0.25687,-0.0032009,0,0,0,4.6569,0.051345,7.8014E-07,1.6536E-07,0.0056147,-0.00016819,0.051404,0,0,0,0,0,0,package://combination/meshes/joint_3.STL,0.88235,0.88235,0.88235,1,0,0,0,0,0,0,package://combination/meshes/joint_3.STL,,UR10.STEP-1/Size 3 Elbow.STEP-1;UR10.STEP-1/Lower arm.STEP-1;UR10.STEP-1/Size 2 Joint.STEP-2,Origin_Joint_3,,joint_3,revolute,0,0.6127,0.12781,0,0,0,joint_2,0,0,0,0,0,0,0,,,,,,,,
joint_4,6.95080302738576E-06,0.00967015845632946,0.00760235560710798,0,0,0,0.729547644259479,0.000987732226145021,-9.35585559460883E-08,-1.03665487001708E-07,0.000878007312535541,0.000120233649873037,0.000910673350926584,0,0,0,0,0,0,package://combination/meshes/joint_4.STL,0.882352941176471,0.882352941176471,0.882352941176471,1,0,0,0,0,0,0,package://combination/meshes/joint_4.STL,,UR10.STEP-1/Size 2 Joint.STEP-3,Origin_Joint_4,,joint_4,revolute,0,0.5716,-0.1157,0,0,0,joint_3,0,0,0,0,0,0,0,,,,,,,,
joint_5,-6.9891E-06,-0.0096701,0.0076024,0,0,0,0.72955,0.00098773,-9.2864E-08,1.0433E-07,0.00087801,-0.00012023,0.00091067,0,0,0,0,0,0,package://combination/meshes/joint_5.STL,0.88235,0.88235,0.88235,1,0,0,0,0,0,0,package://combination/meshes/joint_5.STL,,UR10.STEP-1/Size 2 Joint.STEP-1,Origin_Joint_5,,joint_5,revolute,0,0.1157,0,1.5708,0,0,joint_4,0,0,0,0,0,0,0,,,,,,,,
joint_6,-2.50786895781548E-09,0.000920634085022742,-0.0174599361518346,0,0,0,0.159510512804558,8.16448253828859E-05,-2.2350874971327E-11,2.59504018597685E-12,8.7757429927931E-05,-4.96385228263279E-07,0.000149368424591008,0,0,0,0,0,0,package://combination/meshes/joint_6.STL,0.882352941176471,0.882352941176471,0.882352941176471,1,0,0,0,0,0,0,package://combination/meshes/joint_6.STL,,UR10.STEP-1/Tool flange.STEP-1,Origin_Joint_6,,joint_6,revolute,0,-0.0922,0,1.5708,0,0,joint_5,0,0,0,0,0,0,0,,,,,,,,
extender,-1.0185E-14,0,0.0018925,0,0,0,0.23217,0.00027546,-5.8937E-20,-1.1738E-19,0.00027546,2.993E-20,0.00015802,0,0,0,0,0,0,package://combination/meshes/extender.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://combination/meshes/extender.STL,,UR_10_adaptor-1,Origin_Extender,Axis_Extender,extender,fixed,0,0,0.05,0,0,0,joint_6,0,0,0,,,,,,,,,,,,
on_arm,-9.91769365447983E-08,-0.0164847106043391,0.0115183959979581,0,0,0,0.0595589251648015,5.91989458400223E-05,-3.18357470825513E-10,3.5522541104858E-10,4.21262712900486E-05,8.15497210377909E-06,8.38357822158999E-05,0,0,0,0,0,0,package://combination/meshes/on_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://combination/meshes/on_arm.STL,,on_arm_3d_camera-1,Origin_On_arm,Axis_On_arm,on_arm,fixed,0,0,0.0499999749999999,0,0,0,extender,0,0,0,,,,,,,,,,,,
3d_camera,5.79338477567104E-06,-0.00160695396590849,-0.0547213296937247,0,0,0,0.822162334011094,0.000887813109505989,-3.32926099241923E-09,2.76966187694885E-07,0.00243228488779323,-9.11899623513406E-06,0.00186691525202536,0,0,0,0,0,0,package://combination/meshes/3d_camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://combination/meshes/3d_camera.STL,,3D_camera-2,Origin_3d_camera,Axis_3d_camera,3d_camera,fixed,0,-0.0906652250169711,0.0820082443646569,0,0,0,on_arm,0,0,0,,,,,,,,,,,,
